,ID,Title,Adult,Budget,Genres,Language,Overview,Popularity,Production Countries,Release Date,Revenue,Runtime,Spoken Languages,Status,Video,Average Vote,Vote Count,Profit,Profitability,Days Out,Years Out,Critical Acclaim,log Budget,log Critical Acclaim
10,1452,Superman Returns,False,270000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest to felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",15.876,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-06-28,391081192.0,154.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,False,5.5,2232.0,121081192.0,Profitable,4635,12.698630136986301,2.6485436893203884,19.41393251696265,0.9740099377396713
11,10764,Quantum of Solace,False,200000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",16.197,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-10-30,586090727.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,False,6.2,4282.0,386090727.0,Profitable,3780,10.356164383561644,7.023386243386244,19.11382792451231,1.9492454725870407
12,58,Pirates of the Caribbean: Dead Man's Chest,False,200000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",25.166999999999998,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-06-20,1065659812.0,151.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}, {'iso_639_1': 'el', 'name': 'ελληνικά'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,False,7.2,8904.0,865659812.0,Profitable,4643,12.72054794520548,13.807624380788283,19.11382792451231,2.6252209309574686
13,57201,The Lone Ranger,False,255000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",en,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",11.265999999999998,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-07-03,89289910.0,149.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,6.0,3631.0,-165710090.0,Not Profitable,2073,5.67945205479452,10.509406657018813,19.3567741031227,2.3522707282066113
14,49521,Man of Steel,False,225000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",en,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",29.875999999999998,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-06-12,668045518.0,143.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,6.5,9383.0,443045518.0,Profitable,2094,5.736986301369863,29.125835721107926,19.231610960168695,3.371625605761159
16,24428,The Avengers,False,220000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",49.62,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-04-25,1519557910.0,143.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,False,7.6,18278.0,1299557910.0,Profitable,2507,6.868493150684931,55.40997207818109,19.209138104316636,4.014759578966139
17,1865,Pirates of the Caribbean: On Stranger Tides,False,380000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",en,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",22.674,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-05-14,1045713802.0,136.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,False,6.4,8148.0,665713802.0,Profitable,2854,7.8191780821917805,18.271618780658727,19.755681810684706,2.9053489696755412
18,41154,Men in Black 3,False,225000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",en,"Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind.",15.769,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-05-23,624026776.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,6.4,6121.0,399026776.0,Profitable,2479,6.791780821917809,15.802501008471157,19.231610960168695,2.7601682191815056
19,122917,The Hobbit: The Battle of the Five Armies,False,250000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",en,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",40.917,"[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-12-10,956019788.0,144.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,7.2,7939.0,706019788.0,Profitable,1548,4.241095890410959,36.925581395348836,19.33697147582652,3.6089045735974508
20,1930,The Amazing Spider-Man,False,215000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",26.916,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-06-27,752215857.0,136.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,6.5,9949.0,537215857.0,Profitable,2444,6.695890410958904,26.460106382978722,19.186148586091935,3.2756381791994653
